"Gene"	"Correlation"	"P-Value"	"FDR"
"ENSG00000179676"	"-0.210076735155135"	"0.199273316439766"	"0.306776372217802"
"ENSG00000179743"	"0.660121457489878"	"8.41614457121999e-06"	"0.000120688236454082"
"ENSG00000179755"			
"ENSG00000179818"	"0.396963562753036"	"0.0128752592530009"	"0.0314115985535354"
"ENSG00000179840"	"0.167004048582996"	"0.308347080436568"	"0.429439444285353"
"ENSG00000179935"	"0.590688259109312"	"0.00010263147362338"	"0.000630415783287446"
"ENSG00000180066"	"0.31037978662135"	"0.0544737052113182"	"0.107131314508873"
"ENSG00000180139"	"-0.120647773279352"	"0.463004639640467"	"0.583375856634375"
"ENSG00000180259"			
"ENSG00000180422"	"0.640080971659919"	"1.81795395442636e-05"	"0.000192247190472611"
"ENSG00000180458"	"0.622672064777328"	"3.44221390782462e-05"	"0.000291658022802986"
"ENSG00000180525"	"0.586842105263158"	"0.000116235795485264"	"0.000694797385500452"
"ENSG00000180539"	"0.683603238866397"	"3.30724065120564e-06"	"7.47891012702456e-05"
"ENSG00000180712"	"0.313562753036437"	"0.0523794488898715"	"0.103711131214392"
"ENSG00000180769"	"0.603036437246964"	"6.81461120517931e-05"	"0.000469862212966318"
"ENSG00000180846"	"0.578542510121458"	"0.000151317663694224"	"0.000844429198255392"
"ENSG00000180861"	"-0.236687593432088"	"0.146855682790267"	"0.241027874303794"
"ENSG00000180869"	"0.584817813765182"	"0.000124034460801216"	"0.000726905420049274"
"ENSG00000181097"	"0.718421052631579"	"8.63621839923737e-07"	"4.64843460382915e-05"
"ENSG00000181123"	"0.419028340080972"	"0.00838910262082727"	"0.0218326021861102"
"ENSG00000181171"	"0.461999091717069"	"0.00306810877730839"	"0.00933216419764635"
"ENSG00000181211"	"-0.300546611340918"	"0.0630147421354161"	"0.121084509030461"
"ENSG00000181577"	"0.341902834008097"	"0.0337081386274696"	"0.0714928380549929"
"ENSG00000181798"	"0.694331983805668"	"2.15751121035496e-06"	"6.13132139585059e-05"
"ENSG00000181800"	"-0.0791497975708502"	"0.630860166478701"	"0.73179528696705"
"ENSG00000181908"	"0.650202429149798"	"1.23742392163364e-05"	"0.000150710233625453"
"ENSG00000182057"	"0.275506072874494"	"0.0897429308910856"	"0.162763576522963"
"ENSG00000182165"	"0.564777327935223"	"0.000231056910177661"	"0.00116677246471037"
"ENSG00000182257"	"0.576113360323887"	"0.000163260486471557"	"0.000894410169787892"
"ENSG00000182352"	"0.437449392712551"	"0.00574892996302096"	"0.0158609901896976"
"ENSG00000182366"	"0.266396761133603"	"0.101209308971219"	"0.178920043708769"
"ENSG00000182376"	"0.714574898785425"	"9.93089449342187e-07"	"4.84312516422411e-05"
"ENSG00000182586"	"0.59331983805668"	"9.41740133429644e-05"	"0.000592321118185531"
"ENSG00000182648"	"0.710323886639676"	"1.16282745545014e-06"	"5.04556579066018e-05"
"ENSG00000182776"	"0.495141700404858"	"0.00154353524295433"	"0.00526456172804981"
"ENSG00000182824"	"0.312607635008192"	"0.0526735973710559"	"0.104187572784747"
"ENSG00000182873"	"0.727935222672065"	"6.199521940912e-07"	"4.34897395014127e-05"
