""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ACIN1"	6477.50389724661	-0.0195918487822846	0.0501314611997943	-0.39080945006177	0.695938089267089	0.807327133728807
"ACKR1"	3459.98169681573	1.05967510641198	0.206709593745203	5.12639538016882	2.95342048903003e-07	1.676215673386e-06
"ACKR2"	69.9381607440296	0.22939870457835	0.158287960155668	1.44924923129181	0.147267993409777	0.233962623205118
"ACKR3"	1082.1070415423	1.12876761718221	0.220599587502483	5.11681653606676	3.10735602052145e-07	1.7572411611899e-06
"ACKR4"	154.354306812297	-0.465524663178679	0.216359072117483	-2.15162996690011	0.0314265099719871	0.0621845095627085
"ACLY"	3565.44798667232	-0.320451150062199	0.100102166316639	-3.20124091069678	0.00136837072842256	0.00376040660329871
"ACMSD"	1.84502243674634	-1.83985021726441	0.575740218800361	-3.19562566099344	0.00139528009345606	0.0038282872089372
"ACO1"	1497.18688392221	-0.153305140611247	0.0649971698963534	-2.3586433202509	0.0183418756359345	0.0387547065375774
"ACO2"	2659.97145496413	-0.134164043227384	0.0545375619046203	-2.46003008829073	0.0138925368257915	0.0303281951609638
"ACOD1"	2.71792526760144	0.696732420778306	0.587918802344324	1.18508273251355	0.235984737595692	0.346446451706233
"ACOT1"	243.951018033089	-0.473092262416834	0.156706991126164	-3.01896079439079	0.00253643352772737	0.0066003661167493
"ACOT11"	269.068442582126	0.391810977626971	0.132736787826551	2.95178890526533	0.00315938837365671	0.00804679803623078
"ACOT12"	1.60494707423167	0.79735760019277	0.439040014349278	1.81613878947816	0.0693490847834917	0.123038490671418
"ACOT13"	567.837179857088	-0.479493586519287	0.0711342484417458	-6.74068535231604	1.57641259153443e-11	1.7641204053973e-10
"ACOT2"	578.095928176235	-0.239006778314322	0.0930977276656419	-2.56726758329386	0.0102503478887243	0.0231922026447655
"ACOT4"	70.7541300007362	-0.0756507196753843	0.148079981673293	-0.510877424622403	0.609436889951875	0.733439700504405
"ACOT6"	0.473116425386658	0.256914823322164	0.999916643763496	0.256936240560199	0.797227993541951	0.887395611640049
"ACOT7"	556.065193237062	0.385729560025332	0.0880084427488296	4.3828699608534	1.17126031108507e-05	4.92388952206378e-05
"ACOT8"	490.19267089444	-0.228706196393154	0.0681364463386651	-3.35659120313369	0.00078909690428602	0.00228439181233188
"ACOT9"	1705.42510110217	-0.0622502786237612	0.0684517530838358	-0.909403716038078	0.363137060998805	0.491597157377663
"ACOX1"	2040.53470176192	-0.264538379728185	0.0474129780190373	-5.57945083352425	2.41279132008135e-08	1.65561416634153e-07
"ACOX2"	467.530888736243	0.83398245086755	0.107432765720803	7.76283143482415	8.30539680945335e-15	1.4637302380727e-13
"ACOX3"	531.067385449031	0.0829144149985984	0.0638307403885103	1.29897310439976	0.193953159444142	0.29511900649311
"ACOXL"	353.048693506751	-1.6055564081721	0.26893512445149	-5.97005099816073	2.37179438233963e-09	1.89158289740002e-08
"ACP1"	1648.34728941695	-0.290121618549784	0.0451603203218631	-6.42425953762179	1.32512949263697e-10	1.28725900637261e-09
"ACP2"	1256.21255417121	0.199669265766548	0.0926124056486482	2.15596673434929	0.0310862627919626	0.0615943417684887
"ACP3"	183.447051379765	-1.17012034907003	0.187967501960143	-6.22512049619163	4.81186046496816e-10	4.26183777085359e-09
"ACP4"	0					
"ACP5"	3887.78797920104	-0.222416575946941	0.188277682192308	-1.18132204176894	0.237474814284728	0.348205092933139
"ACP6"	601.385140403785	-0.25110372502976	0.103223278376313	-2.43262691303343	0.0149897373104315	0.0324191108962933
"ACP7"	4.35598826622336	1.70804276890649	0.376019746196146	4.54242838623562	5.56098905895507e-06	2.47762851320594e-05
"ACR"	47.7196790471469	-0.760468442032627	0.264850640762058	-2.87131056147164	0.00408773708918687	0.010157552587139
"ACRBP"	95.3945054634168	-0.952241688338307	0.158774417939608	-5.99745034934095	2.00439621226498e-09	1.61682873822677e-08
"ACRV1"	0.998579324057534	1.83796084222651	0.570912286996661	3.21934014048861	0.00128485978389241	0.00354983935367202
"ACSBG1"	48.1195780004441	1.50378248665136	0.493951262772983	3.04439445748008	0.00233149220985487	0.0061179613251304
"ACSBG2"	9.09082676618622	2.46086741702495	0.435276713723044	5.65357010710832	1.57148969661437e-08	1.11317745262777e-07
"ACSF2"	1227.01078043073	-0.146844417025533	0.13383755204803	-1.0971839724985	0.272560978001778	0.39008295478204
"ACSF3"	994.075297905946	0.137328934475798	0.0642363697830932	2.13786885746371	0.032527388461703	0.0640769391091132
